Unnamed: 0.1,Unnamed: 0,Name,Club,Nationality,Position,Age,Matches,Starts,Mins,Goals,Assists,Passes_Attempted,Perc_Passes_Completed,Penalty_Goals,Penalty_Attempted,xG,xA,Yellow_Cards,Red_Cards,Goals_per_90,Assists_per_90,xG_Efficiency
-0.78,-0.79,Jarrod Bowen,West Ham United,ENG,"FW,MF",-0.63,1.56,1.14,1.05,1.59,1.53,-0.14,-1.51,-0.25,-0.27,0.52,0.9,-1.08,-0.33,0.96,0.9,1.03
-0.77,-0.78,Angelo Ogbonna,West Ham United,ITA,DF,1.63,0.59,0.96,0.97,0.19,-0.71,0.22,0.69,-0.25,-0.27,-0.59,-0.54,1.07,-0.33,-0.07,-0.77,2.24
-0.76,-0.78,Michail Antonio,West Ham United,ENG,FW,1.12,0.4,0.6,0.43,2.15,1.53,-0.53,-1.71,-0.25,-0.27,2.48,0.3,0.21,-0.33,2.05,1.36,0.15
-0.76,-0.77,Craig Dawson,West Ham United,ENG,DF,1.12,0.01,0.41,0.38,0.19,-0.71,-0.16,0.43,-0.25,-0.27,-0.4,-1.02,1.07,2.85,0.11,-0.77,1.08
-0.75,-0.76,Jesse Lingard,West Ham United,ENG,"MF,FW",0.37,-0.57,-0.13,-0.15,1.87,1.08,-0.24,0.27,0.81,1.58,1.17,0.06,0.21,-0.33,2.72,1.55,0.6
-0.74,-0.76,Issa Diop,West Ham United,FRA,DF,-0.63,-0.38,-0.23,-0.2,-0.08,-0.71,-0.41,0.69,-0.25,-0.27,-0.79,-1.02,0.21,-0.33,0.05,-0.77,4.29
-0.73,-0.75,Saïd Benrahma,West Ham United,ALG,"FW,MF",-0.38,0.78,-0.32,-0.19,-0.36,1.98,-0.47,-0.17,-0.25,-0.27,0.06,2.34,-1.08,-0.33,-0.38,2.85,-0.5
-0.72,-0.74,Fabián Balbuena,West Ham United,PAR,DF,0.62,-0.77,-0.41,-0.39,-0.36,-0.71,-0.57,-0.33,-0.25,-0.27,-0.59,-1.02,-0.65,2.85,-0.25,-0.77,0.19
-0.72,-0.74,Arthur Masuaku,West Ham United,COD,"DF,FW",0.12,-0.96,-0.5,-0.59,-0.64,0.18,-0.43,0.11,-0.25,-0.27,-0.73,1.02,-0.22,-0.33,-0.74,0.9,-0.84
-0.71,-0.73,Sébastien Haller,West Ham United,CIV,FW,0.12,-0.57,-0.68,-0.66,0.19,-0.71,-0.9,-1.52,-0.25,-0.27,0.91,0.42,-1.08,-0.33,1.02,-0.77,-0.29
-0.7,-0.72,Ryan Fredericks,West Ham United,ENG,"DF,FW",0.37,-0.77,-1.05,-1.05,-0.36,-0.26,-0.86,-0.87,-0.25,-0.27,-0.59,1.26,-0.22,-0.33,0.23,0.71,0.19
-0.69,-0.71,Manuel Lanzini,West Ham United,ARG,"MF,FW",0.37,-0.48,-1.14,-1.05,-0.36,-0.26,-0.72,1.29,-0.25,-0.27,0.26,0.66,-0.65,-0.33,0.23,0.71,-0.55
-0.68,-0.7,Ben Johnson,West Ham United,ENG,DF,-1.38,-0.77,-1.14,-1.1,-0.36,-0.71,-0.96,-1.2,-0.25,-0.27,-0.53,-0.54,-0.65,-0.33,0.29,-0.77,0.02
-0.68,-0.69,Andriy Yarmolenko,West Ham United,UKR,"FW,MF",1.12,-0.67,-1.5,-1.26,-0.64,-0.26,-1.05,-0.04,-0.25,-0.27,-0.27,1.74,0.21,-0.33,-0.74,1.45,-0.84
-0.67,-0.67,Pierre Højbjerg,Tottenham Hotspur,DEN,MF,-0.38,1.56,1.87,1.95,-0.08,1.08,2.96,1.29,-0.25,-0.27,-0.73,-0.42,2.79,-0.33,-0.44,0.25,2.58
-0.66,-0.66,Son Heung-min,Tottenham Hotspur,KOR,FW,0.62,1.46,1.69,1.63,4.11,3.77,0.6,-0.35,0.81,0.66,1.04,2.1,-1.08,-0.33,2.23,1.92,2.07
-0.65,-0.65,Harry Kane,Tottenham Hotspur,ENG,FW,0.37,1.27,1.6,1.59,5.79,5.57,0.18,-1.23,3.99,3.44,3.0,1.62,-0.65,-0.33,3.32,3.03,1.13
-0.64,-0.65,Eric Dier,Tottenham Hotspur,ENG,DF,0.12,0.59,0.96,1.0,-0.64,-0.71,1.32,0.71,-0.25,-0.27,-0.73,-1.02,0.21,-0.33,-0.74,-0.77,-0.84
-0.64,-0.64,Tanguy Ndombele,Tottenham Hotspur,FRA,MF,-0.63,1.07,0.96,0.55,0.19,0.18,0.55,0.81,-0.25,-0.27,-0.53,0.18,0.21,-0.33,0.05,0.06,1.73
-0.63,-0.63,Sergio Reguilón,Tottenham Hotspur,ESP,DF,-0.63,0.49,0.78,0.71,-0.64,0.63,0.91,-0.28,-0.25,-0.27,-0.53,-0.18,1.07,-0.33,-0.74,0.34,-0.84
-0.62,-0.63,Toby Alderweireld,Tottenham Hotspur,BEL,DF,1.37,0.3,0.69,0.71,-0.36,-0.71,0.86,0.59,-0.25,-0.27,-0.73,-0.9,-0.22,-0.33,-0.5,-0.77,0.87
-0.61,-0.62,Serge Aurier,Tottenham Hotspur,CIV,DF,0.37,-0.28,0.14,0.04,-0.08,0.63,0.21,0.18,-0.25,-0.27,-0.4,0.3,-1.08,-0.33,-0.07,0.8,0.44
-0.6,-0.61,Davinson Sánchez,Tottenham Hotspur,COL,DF,-0.38,-0.38,-0.04,-0.09,-0.64,-0.71,0.25,1.02,-0.25,-0.27,-0.46,-1.02,-0.65,-0.33,-0.74,-0.77,-0.84
-0.59,-0.61,Moussa Sissoko,Tottenham Hotspur,FRA,MF,1.12,0.3,-0.23,0.02,-0.64,-0.71,-0.05,0.64,-0.25,-0.27,-0.79,-0.66,0.21,-0.33,-0.74,-0.77,-0.84
-0.59,-0.6,Lucas Moura,Tottenham Hotspur,BRA,"FW,MF",0.37,0.78,-0.32,-0.17,0.19,1.08,-0.35,-0.61,-0.25,-0.27,-0.01,0.66,-0.65,-0.33,0.41,1.64,0.26
-0.58,-0.59,Ben Davies,Tottenham Hotspur,WAL,DF,0.37,-0.19,-0.32,-0.23,-0.64,-0.26,-0.06,-0.19,-0.25,-0.27,-0.86,-0.54,-0.65,-0.33,-0.74,-0.12,-0.84
-0.57,-0.59,Matt Doherty,Tottenham Hotspur,IRL,DF,0.62,-0.48,-0.41,-0.35,-0.64,0.18,0.01,0.18,-0.25,-0.27,-0.73,-0.3,0.64,2.85,-0.74,0.62,-0.84
-0.56,-0.58,Steven Bergwijn,Tottenham Hotspur,NED,"FW,MF",-0.88,-0.09,-0.41,-0.38,-0.36,0.63,-0.62,0.24,-0.25,-0.27,0.26,0.06,0.21,-0.33,-0.31,1.27,-0.55
-0.55,-0.58,Giovani Lo Celso,Tottenham Hotspur,ARG,MF,-0.38,-0.38,-0.59,-0.66,-0.36,-0.26,-0.37,-0.05,-0.25,-0.27,-0.2,0.42,1.07,-0.33,-0.13,0.16,-0.37
